Site Name,Slope,Intercept
BS-1,1.8888,-32.8511
BS-2,1.6004,-23.5315
BS-3,1.771,-27.1749
BS-4,1.8253,-29.7274
BS-5,1.6224,-22.8623
BS-6,1.6413,-23.6958
BS-7,2.1921,-32.5663
BS-8,1.6516,-23.8966
BS-9,2.2062,-35.4756
BS-10,1.8113,-30.9266
BS-11,1.9829,-28.176
BS-12,1.8098,-29.5747
BS-13,1.6125,-25.1915
BS-14,1.8706,-30.5499
BS-15,1.844,-16.0821
BS-16,1.6777,-29.1689
BS-17,1.6935,-28.0328
BS-18,1.782,-30.8728
BS-19,1.5596,-22.1025
BS-20,1.9426,-30.2876
BS-21,0.9663,9.5933
BS-22,0.6964,4.4515
BS-23,0.7615,8.3556
BS-24,0.6738,9.8518
BS-25,0.7316,16.704
BS-26,0.936,20.091
BS-27,0.849,11.495
BS-28,0.727,17.616
BS-29,0.675,13.993
BS-30,0.814,1.976
BS-31,0.663,10.299
BS-32,0.816,0.961
BS-33,0.725,10.064
BS-34,0.877,21.597
BS-35,0.792,13.238
BS-36,1.021,5.987
BS-37,0.733,13.127
BS-38,0.699,12.104
BS-39,0.924,18.534
BS-40,0.676,15.768
BS-41,0.833,2.872
BS-42,0.843,18.340
BS-43,0.722,5.081
BS-44,0.713,4.904
BS-45,0.664,7.520
BS-46,0.729,-1.889
BS-47,0.720,21.212
BS-48,0.657,10.043
BS-49,0.662,17.477
BS-50,0.737,11.342
BS-51,0.697,9.909
BS-52,0.852,13.912
BS-53,0.787,10.107
BS-54,0.727,6.558
BS-55,0.793,7.418
BS-56,0.647,10.493
BS-57,0.695,7.009
BS-58,0.749,14.801
BS-59,0.707,11.213
BS-60,0.637,14.516
BS-61,0.680,9.212
BS-62,0.908,1.538
BS-63,0.834,4.108
BS-64,0.7218,16.079
BS-65,0.564,15.178
BS-66,0.856,25.253
BS-67,0.894,16.759
BS-68,0.711,3.247
BS-69,0.744,17.485
BS-70,0.718,1.609
BS-71,0.744,15.811
BS-72,0.787,22.034
BS-73,0.650,8.280
BS-74,0.718,6.530
BS-75,0.717,10.741
BS-76,0.703,8.152
