Serial Number,PM1.0 (ug/m3),PM2.5 (ug/m3),Timestamp (UTC),PM4.0 (ug/m3),PM10 (ug/m3),PM0.5 NC (#/cm3),PM1.0 NC (#/cm3),PM2.5 NC (#/cm3),Applied PM2.5 Custom Calibration Factor,PM4.0 NC (#/cm3),PM10 NC (#/cm3),Applied PM10 Custom Calibration Factor,Typical Particle Size (um),Temperature (Celsius),Relative Humidity (%),Time Delta,Entry Count,Country,Site Name,Longitude,Latitude,is_indoors
81432130002,8.1,8.7,2022-04-22 00:00:00,9.02,9.17,76.6,89.6,90.4,,90.5,90.6,,0.61,20.2,64.3,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,6.72,7.35,2022-04-22 01:00:00,7.62,7.82,63.5,74.4,75.2,,75.3,75.4,,0.62,21.1,59.0,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,5.75,6.35,2022-04-22 02:00:00,6.57,6.68,50.4,59.1,59.7,,59.8,59.8,,0.6,28.9,39.7,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,7.5,8.3,2022-04-22 03:00:00,8.75,8.9,64.0,75.2,76.0,,76.2,76.2,,0.61,32.4,31.3,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,7.37,8.07,2022-04-22 04:00:00,8.43,8.58,61.0,71.6,72.4,,72.5,72.5,,0.61,35.7,26.2,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,7.85,8.5,2022-04-22 05:00:00,8.77,8.97,64.2,75.2,75.8,,75.9,75.9,,0.6,37.5,23.3,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,7.27,8.02,2022-04-22 06:00:00,8.25,8.38,59.8,70.0,70.8,,70.8,70.8,,0.6,38.1,21.5,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,7.58,8.15,2022-04-22 07:00:00,8.48,8.53,62.6,73.0,73.6,,73.7,73.7,,0.59,38.2,21.3,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,7.37,7.9,2022-04-22 08:00:00,8.13,8.23,60.5,70.5,71.1,,71.2,71.2,,0.59,38.7,20.2,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,7.07,7.65,2022-04-22 09:00:00,7.92,7.95,57.5,67.2,68.0,,68.0,68.0,,0.59,39.1,19.4,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,7.37,7.97,2022-04-22 10:00:00,8.23,8.37,60.7,71.0,71.6,,71.7,71.8,,0.59,37.8,20.2,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,7.38,8.12,2022-04-22 11:00:00,8.33,8.43,62.1,72.6,73.2,,73.3,73.3,,0.6,36.1,21.3,1.0,58,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,8.68,9.38,2022-04-22 12:00:00,9.58,9.72,74.0,86.4,87.1,,87.2,87.3,,0.59,32.7,26.8,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,10.6,11.53,2022-04-22 13:00:00,11.92,12.13,93.0,108.8,109.8,,110.0,110.0,,0.6,29.6,34.3,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,7.18,8.02,2022-04-22 14:00:00,8.55,8.72,62.2,73.6,74.6,,74.8,74.8,,0.63,28.1,34.6,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,3.28,4.02,2022-04-22 15:00:00,4.48,4.7,28.0,34.0,35.0,,35.1,35.2,,0.68,26.5,32.2,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,4.77,5.4,2022-04-22 16:00:00,5.8,6.0,41.7,49.4,50.3,,50.4,50.5,,0.64,26.4,33.3,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,5.73,6.45,2022-04-22 17:00:00,6.8,6.92,51.7,60.8,61.6,,61.8,61.8,,0.62,25.6,36.5,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,8.07,8.8,2022-04-22 18:00:00,9.08,9.25,72.9,85.3,86.3,,86.4,86.4,,0.6,24.9,39.3,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,8.67,9.43,2022-04-22 19:00:00,9.77,9.85,80.2,93.7,94.7,,94.8,94.8,,0.59,23.9,44.8,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,9.78,10.47,2022-04-22 20:00:00,10.58,10.62,91.3,106.1,106.8,,106.9,106.9,,0.57,23.5,46.0,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,13.05,13.8,2022-04-22 21:00:00,14.12,14.13,122.4,142.3,143.2,,143.4,143.4,,0.57,22.3,49.4,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,18.77,19.97,2022-04-22 22:00:00,20.13,20.22,178.5,207.4,208.6,,208.7,208.7,,0.57,21.3,53.5,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,17.6,18.63,2022-04-22 23:00:00,18.7,18.77,167.1,194.0,195.0,,195.1,195.1,,0.56,21.6,52.1,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,10.38,11.12,2022-04-23 00:00:00,11.2,11.32,99.2,115.4,116.0,,116.1,116.1,,0.57,21.2,50.8,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,12.35,13.12,2022-04-23 01:00:00,13.25,13.33,112.7,131.0,131.8,,131.8,131.9,,0.57,25.0,44.0,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,25.53,26.8,2022-04-23 02:00:00,27.02,27.07,229.4,266.0,267.4,,267.5,267.5,,0.56,28.3,39.9,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,10.05,10.95,2022-04-23 03:00:00,11.12,11.25,88.4,103.2,104.0,,104.1,104.2,,0.59,31.0,32.0,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,6.83,7.53,2022-04-23 04:00:00,7.63,7.7,58.0,67.8,68.4,,68.5,68.6,,0.59,34.8,25.7,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,5.95,6.42,2022-04-23 05:00:00,6.53,6.68,49.0,57.1,57.6,,57.7,57.7,,0.58,38.6,21.7,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,5.2,5.67,2022-04-23 06:00:00,5.87,5.93,42.2,49.3,50.0,,50.0,50.0,,0.59,39.6,19.7,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,4.15,4.6,2022-04-23 07:00:00,4.88,4.97,33.2,39.0,39.4,,39.4,39.5,,0.62,41.0,17.0,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,3.98,4.35,2022-04-23 08:00:00,4.7,4.83,31.9,37.5,38.0,,38.1,38.1,,0.62,39.5,17.4,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,3.47,3.9,2022-04-23 09:00:00,4.1,4.18,27.2,32.0,32.5,,32.6,32.6,,0.63,41.1,15.9,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,3.25,3.85,2022-04-23 10:00:00,3.97,4.12,26.6,31.5,32.1,,32.2,32.2,,0.62,39.4,17.0,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,3.33,3.88,2022-04-23 11:00:00,4.12,4.2,27.9,32.9,33.3,,33.3,33.4,,0.62,37.4,17.5,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,3.0,3.6,2022-04-23 12:00:00,3.73,3.88,25.7,30.4,30.9,,31.0,31.0,,0.63,34.1,19.2,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,4.2,4.58,2022-04-23 13:00:00,4.85,4.93,36.5,42.9,43.2,,43.3,43.4,,0.61,30.8,22.0,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,11.07,11.68,2022-04-23 14:00:00,11.82,11.9,98.2,114.1,114.8,,114.9,114.9,,0.57,28.7,25.1,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,21.17,22.37,2022-04-23 15:00:00,22.5,22.55,192.0,222.8,224.0,,224.0,224.0,,0.56,27.4,29.9,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,17.32,18.62,2022-04-23 16:00:00,19.05,19.3,155.6,181.6,183.1,,183.3,183.4,,0.6,26.8,32.0,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,12.37,13.45,2022-04-23 17:00:00,13.8,13.9,113.9,132.9,134.0,,134.2,134.3,,0.59,24.6,36.5,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,13.05,14.1,2022-04-23 18:00:00,14.53,14.7,120.3,140.5,141.8,,142.0,142.0,,0.6,23.7,40.8,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
81432130002,15.62,17.45,2022-04-23 19:00:00,18.38,18.87,142.9,168.4,170.7,,171.0,171.1,,0.63,23.3,42.6,1.0,60,,NUST-Pk3,72.98954975,33.64799269,False
