Serial Number,PM1.0 (ug/m3),PM2.5 (ug/m3),Timestamp (UTC),PM4.0 (ug/m3),PM10 (ug/m3),PM0.5 NC (#/cm3),PM1.0 NC (#/cm3),PM2.5 NC (#/cm3),Applied PM2.5 Custom Calibration Factor,PM4.0 NC (#/cm3),PM10 NC (#/cm3),Applied PM10 Custom Calibration Factor,Typical Particle Size (um),Temperature (Celsius),Relative Humidity (%),Time Delta,Entry Count,Country,Site Name,Longitude,Latitude,is_indoors
81432039053,2.0,2.0,2022-08-15 00:00:00,2.0,2.0,17.0,19.5,19.5,,19.5,19.5,,0.43,26.8,45.8,15.0,4,,Duke 1,-78.93799635,36.00350901,False
81432039053,2.75,3.0,2022-08-15 01:00:00,3.0,3.0,19.8,22.8,23.0,,23.0,23.0,,0.44,25.9,50.8,15.0,4,,Duke 1,-78.93799635,36.00350901,False
81432039053,3.0,3.0,2022-08-15 02:00:00,3.0,3.0,22.0,25.5,25.8,,25.8,25.8,,0.44,25.3,52.8,15.0,4,,Duke 1,-78.93799635,36.00350901,False
81432039053,3.0,3.0,2022-08-15 03:00:00,3.0,3.0,23.0,26.2,26.5,,26.5,26.5,,0.44,25.0,55.5,15.0,4,,Duke 1,-78.93799635,36.00350901,False
81432039053,3.0,3.0,2022-08-15 04:00:00,3.0,3.0,24.0,27.8,28.0,,28.0,28.0,,0.44,24.9,56.2,15.0,4,,Duke 1,-78.93799635,36.00350901,False
81432039053,3.0,3.0,2022-08-15 05:00:00,3.0,3.0,24.5,28.5,29.0,,29.0,29.0,,0.44,24.5,60.0,15.0,4,,Duke 1,-78.93799635,36.00350901,False
81432039053,3.75,3.75,2022-08-15 06:00:00,3.75,3.75,28.0,32.5,32.5,,32.5,32.5,,0.43,22.6,75.0,15.0,4,,Duke 1,-78.93799635,36.00350901,False
81432039072,3.0,3.0,2022-08-15 00:00:00,3.0,3.0,19.5,22.8,23.0,,23.0,23.2,,0.48,27.1,44.8,15.0,4,,Duke 3,-78.938232,36.001427,False
81432039072,3.0,3.0,2022-08-15 01:00:00,3.0,3.0,22.5,26.8,27.0,,27.0,27.0,,0.48,25.8,50.2,15.0,4,,Duke 3,-78.938232,36.001427,False
81432039072,3.0,3.75,2022-08-15 02:00:00,3.75,3.75,25.0,29.2,29.5,,29.5,29.5,,0.49,25.3,52.8,15.0,4,,Duke 3,-78.938232,36.001427,False
81432039072,3.5,4.0,2022-08-15 03:00:00,4.0,4.0,26.0,30.8,31.0,,31.0,31.0,,0.49,24.9,55.2,15.0,4,,Duke 3,-78.938232,36.001427,False
81432039072,4.0,4.0,2022-08-15 04:00:00,4.0,4.0,27.8,32.8,33.0,,33.0,33.0,,0.48,24.8,56.0,15.0,4,,Duke 3,-78.938232,36.001427,False
81432039072,4.0,4.0,2022-08-15 05:00:00,4.0,4.0,28.5,33.5,33.5,,33.5,33.5,,0.48,24.5,59.0,15.0,4,,Duke 3,-78.938232,36.001427,False
81432039072,4.0,4.5,2022-08-15 06:00:00,4.5,4.5,32.0,37.5,38.0,,38.0,38.0,,0.48,22.8,73.2,15.0,4,,Duke 3,-78.938232,36.001427,False
81432039074,3.0,3.0,2022-08-15 00:00:00,3.0,3.0,19.8,23.0,23.0,,23.0,23.0,,0.49,26.8,45.5,15.0,4,,Duke 2,-78.93817,36.0036,False
81432039074,3.0,3.0,2022-08-15 01:00:00,3.0,3.0,23.0,26.8,27.2,,27.2,27.2,,0.5,25.8,50.5,15.0,4,,Duke 2,-78.93817,36.0036,False
81432039074,3.0,3.75,2022-08-15 02:00:00,3.75,3.75,25.0,29.2,29.2,,29.2,29.2,,0.51,25.1,52.8,15.0,4,,Duke 2,-78.93817,36.0036,False
81432039074,4.0,4.0,2022-08-15 03:00:00,4.0,4.0,26.2,31.2,31.2,,31.2,31.2,,0.5,24.8,55.8,15.0,4,,Duke 2,-78.93817,36.0036,False
81432039074,4.0,4.0,2022-08-15 04:00:00,4.0,4.0,27.5,32.2,32.5,,32.5,32.5,,0.5,24.8,56.5,15.0,4,,Duke 2,-78.93817,36.0036,False
81432039074,4.0,4.0,2022-08-15 05:00:00,4.0,4.0,28.2,33.5,33.5,,33.5,33.5,,0.49,24.3,60.0,15.0,4,,Duke 2,-78.93817,36.0036,False
81432039074,4.25,4.5,2022-08-15 06:00:00,4.5,4.5,32.2,38.2,38.2,,38.2,38.2,,0.5,22.4,75.2,15.0,4,,Duke 2,-78.93817,36.0036,False
