,Timestamp (UTC),NUST-Pk 8,NUST- Pk 9,NUST- Pk 11,NUST- Pk 12,NUST- Pk 13,NUST- Pk 14,NUST- Pk 15,NUST- Pk 16,NUST- Pk 17
0,04/22 00,9.62,9.25,10.3,9.88,9.4,,9.3,12.6,
1,04/22 01,8.25,8.05,8.77,8.53,7.85,,8.0,10.68,
2,04/22 02,6.77,6.72,7.28,7.42,6.87,,6.77,9.15,
3,04/22 03,8.65,8.42,9.63,9.45,9.23,,8.8,12.07,
4,04/22 04,8.73,8.48,9.58,9.32,9.1,,8.52,12.13,
5,04/22 05,9.15,9.03,9.92,9.85,9.37,,9.1,12.45,
6,04/22 06,8.62,8.76,9.1,9.23,8.73,,8.45,11.58,
7,04/22 07,8.58,8.85,9.68,9.37,8.97,,8.53,12.0,
8,04/22 08,8.58,8.57,9.38,9.18,8.47,,8.25,11.7,
9,04/22 09,8.22,8.4,8.92,8.75,8.07,,7.9,10.97,
10,04/22 10,8.6,8.65,9.48,9.18,8.58,,8.35,11.42,
11,04/22 11,8.85,8.67,9.65,,8.66,,8.39,11.86,
12,04/22 12,10.15,,11.48,,9.85,12.08,9.8,13.67,
13,04/22 13,12.58,12.65,14.02,13.18,11.93,14.58,12.2,16.57,13.18
14,04/22 14,8.88,8.75,9.63,9.17,8.48,10.45,8.48,11.5,9.23
15,04/22 15,4.42,4.4,4.63,4.63,4.25,5.38,4.32,5.82,4.7
16,04/22 16,5.97,5.82,6.4,6.08,5.8,7.05,5.75,7.68,6.27
17,04/22 17,7.08,6.67,7.52,7.27,7.0,8.37,6.87,9.27,7.35
18,04/22 18,9.05,8.85,10.25,9.73,9.23,11.23,9.22,12.59,9.87
19,04/22 19,10.23,10.07,11.25,10.7,10.02,12.12,10.05,13.62,10.82
20,04/22 20,11.0,11.2,12.55,11.88,10.93,13.1,11.03,15.23,11.88
21,04/22 21,14.97,14.57,16.6,15.9,14.95,17.93,14.88,20.03,16.18
22,04/22 22,21.53,21.18,24.08,23.02,21.2,25.43,21.63,29.13,22.75
23,04/22 23,20.0,20.33,22.15,21.48,19.68,23.5,19.17,27.03,21.45
24,04/23 00,11.85,11.72,13.17,12.75,11.92,14.3,11.78,16.17,12.6
25,04/23 01,14.15,14.42,15.38,15.22,13.92,16.75,14.17,19.07,15.25
26,04/23 02,27.77,28.15,31.18,31.13,29.23,33.0,27.82,39.2,31.28
27,04/23 03,11.12,10.75,12.42,12.2,12.2,13.62,10.72,15.18,12.93
28,04/23 04,7.58,7.38,8.6,8.35,8.33,9.27,7.4,10.53,8.93
29,04/23 05,6.68,6.78,7.63,7.23,7.12,8.15,6.55,9.3,7.53
30,04/23 06,5.93,6.0,6.57,6.4,6.3,7.23,5.83,8.28,6.62
31,04/23 07,5.03,5.0,5.37,5.1,5.07,5.97,4.8,6.85,5.38
32,04/23 08,4.93,4.88,5.13,5.13,4.97,5.78,4.77,6.52,5.2
33,04/23 09,4.43,4.3,4.48,4.45,4.22,5.12,4.13,5.65,4.65
34,04/23 10,4.17,4.17,4.48,4.15,4.12,5.08,4.08,5.55,4.35
35,04/23 11,4.22,4.23,4.38,4.3,4.1,5.02,4.0,5.73,4.38
36,04/23 12,3.85,3.88,4.08,3.93,3.73,4.62,3.73,5.07,3.97
37,04/23 13,4.75,4.93,5.5,5.3,5.03,5.8,4.92,6.78,5.18
38,04/23 14,12.47,12.87,14.42,13.42,12.65,14.83,12.33,17.32,13.2
39,04/23 15,24.33,24.42,27.18,26.03,24.25,28.7,24.42,32.97,26.73
40,04/23 16,20.73,20.28,22.02,21.48,20.07,24.97,20.75,26.78,22.78
41,04/23 17,14.9,14.33,16.05,15.63,14.63,18.0,14.62,19.52,15.48
42,04/23 18,15.8,14.92,17.07,16.28,15.15,19.0,15.57,20.88,16.9
43,04/23 19,20.3,18.57,20.68,20.52,19.12,24.48,19.88,25.63,21.33
44,04/23 20,15.35,15.52,17.28,16.63,15.83,18.53,15.48,21.2,16.73
45,04/23 21,21.58,21.02,23.52,22.87,21.27,25.88,21.53,28.82,23.12
46,04/23 22,40.98,40.68,45.0,44.35,40.57,49.07,40.97,55.53,45.02
47,04/23 23,27.18,25.82,29.88,27.92,26.7,33.92,27.45,36.4,28.18
48,04/24 00,38.58,37.47,41.03,39.75,37.08,47.37,38.8,50.45,41.5
49,04/24 01,35.85,34.43,40.72,38.85,37.27,44.6,35.87,49.33,39.52
50,04/24 02,28.05,27.17,31.63,30.47,30.22,34.82,27.23,38.43,32.6
51,04/24 03,22.53,21.72,25.43,24.55,24.6,28.15,22.23,31.35,26.67
52,04/24 04,7.93,8.02,8.68,8.62,7.98,9.65,7.65,10.77,8.72
53,04/24 05,4.72,4.85,5.28,5.07,4.8,5.38,4.55,6.6,5.13
54,04/24 06,4.93,5.18,5.6,5.28,5.12,5.85,4.75,6.92,5.27
55,04/24 07,5.37,5.52,6.0,5.65,5.32,6.33,5.13,7.37,5.65
56,04/24 08,4.88,5.15,5.47,5.13,4.92,5.73,4.63,6.63,5.23
57,04/24 09,4.58,4.83,5.23,4.88,4.6,5.37,4.43,6.38,4.85
58,04/24 10,4.97,5.07,5.58,5.25,4.92,5.92,4.9,6.83,5.25
59,04/24 11,5.02,5.05,5.42,5.27,5.13,6.0,5.02,6.92,5.38
